UID        PID  PPID  C STIME TTY          TIME CMD
root         1     0  0 06:57 ?        00:00:01 /sbin/init splash
root         2     0  0 06:57 ?        00:00:00 [kthreadd]
root         3     2  0 06:57 ?        00:00:00 [ksoftirqd/0]
root         5     2  0 06:57 ?        00:00:00 [kworker/0:0H]
root         7     2  0 06:57 ?        00:00:05 [rcu_sched]
root         8     2  0 06:57 ?        00:00:00 [rcu_bh]
root         9     2  0 06:57 ?        00:00:00 [migration/0]
root        10     2  0 06:57 ?        00:00:00 [watchdog/0]
root        11     2  0 06:57 ?        00:00:00 [watchdog/1]
root        12     2  0 06:57 ?        00:00:00 [migration/1]
root        13     2  0 06:57 ?        00:00:00 [ksoftirqd/1]
root        15     2  0 06:57 ?        00:00:00 [kworker/1:0H]
root        16     2  0 06:57 ?        00:00:00 [watchdog/2]
root        17     2  0 06:57 ?        00:00:00 [migration/2]
root        18     2  0 06:57 ?        00:00:00 [ksoftirqd/2]
root        20     2  0 06:57 ?        00:00:00 [kworker/2:0H]
root        21     2  0 06:57 ?        00:00:00 [watchdog/3]
root        22     2  0 06:57 ?        00:00:00 [migration/3]
root        23     2  0 06:57 ?        00:00:00 [ksoftirqd/3]
root        25     2  0 06:57 ?        00:00:00 [kworker/3:0H]
root        26     2  0 06:57 ?        00:00:00 [kdevtmpfs]
root        27     2  0 06:57 ?        00:00:00 [netns]
root        28     2  0 06:57 ?        00:00:00 [perf]
root        29     2  0 06:57 ?        00:00:00 [khungtaskd]
root        30     2  0 06:57 ?        00:00:00 [writeback]
root        31     2  0 06:57 ?        00:00:00 [ksmd]
root        32     2  0 06:57 ?        00:00:02 [khugepaged]
root        33     2  0 06:57 ?        00:00:00 [crypto]
root        34     2  0 06:57 ?        00:00:00 [kintegrityd]
root        35     2  0 06:57 ?        00:00:00 [bioset]
root        36     2  0 06:57 ?        00:00:00 [kblockd]
root        37     2  0 06:57 ?        00:00:00 [ata_sff]
root        38     2  0 06:57 ?        00:00:00 [md]
root        39     2  0 06:57 ?        00:00:00 [devfreq_wq]
root        43     2  0 06:57 ?        00:00:00 [kswapd0]
root        44     2  0 06:57 ?        00:00:00 [vmstat]
root        45     2  0 06:57 ?        00:00:00 [fsnotify_mark]
root        46     2  0 06:57 ?        00:00:00 [ecryptfs-kthrea]
root        62     2  0 06:57 ?        00:00:00 [kthrotld]
root        63     2  0 06:57 ?        00:00:00 [acpi_thermal_pm]
root        66     2  0 06:57 ?        00:00:00 [bioset]
root        67     2  0 06:57 ?        00:00:00 [bioset]
root        69     2  0 06:57 ?        00:00:00 [bioset]
root        70     2  0 06:57 ?        00:00:00 [bioset]
root        71     2  0 06:57 ?        00:00:00 [bioset]
root        72     2  0 06:57 ?        00:00:00 [bioset]
root        73     2  0 06:57 ?        00:00:00 [bioset]
